week,country_territory,current_zika_transmission,zika_transmission_in_past_9_mnths
4-Feb-16,Tonga,Increasing or widespread transmission,Yes
4-Feb-16,Vanuatu,No,Yes
4-Feb-16,Virgin islands (US),Sporadic transmission following recent introduction,Yes
28-Jan-16,Barbados,Increasing or widespread transmission,Yes
28-Jan-16,Bolivia,Sporadic transmission following recent introduction,Yes
28-Jan-16,Brazil,Increasing or widespread transmission,Yes
28-Jan-16,Cabo Verde,Increasing or widespread transmission,Yes
28-Jan-16,Colombia,Increasing or widespread transmission,Yes
28-Jan-16,Curacao,Sporadic transmission following recent introduction,Yes
28-Jan-16,Dominican Republic,Increasing or widespread transmission,Yes
28-Jan-16,Ecuador,Increasing or widespread transmission,Yes
28-Jan-16,El Salvador,Increasing or widespread transmission,Yes
28-Jan-16,French Guiana,Increasing or widespread transmission,Yes
28-Jan-16,Guadeloupe (France),Sporadic transmission following recent introduction,Yes
28-Jan-16,Guatemala,Increasing or widespread transmission,Yes
28-Jan-16,Guyana,Sporadic transmission following recent introduction,Yes
28-Jan-16,Haiti,Increasing or widespread transmission,Yes
28-Jan-16,Honduras,Sporadic transmission following recent introduction,Yes
28-Jan-16,Martinique (France),Increasing or widespread transmission,Yes
28-Jan-16,Mexico,Increasing or widespread transmission,Yes
28-Jan-16,Nicaragua,Sporadic transmission following recent introduction,Yes
28-Jan-16,Panama,Increasing or widespread transmission,Yes
28-Jan-16,Paraguay,Increasing or widespread transmission,Yes
28-Jan-16,Puerto Rico,Increasing or widespread transmission,Yes
28-Jan-16,Saint Martin (France),Sporadic transmission following recent introduction,Yes
28-Jan-16,Suriname,Sporadic transmission following recent introduction,Yes
28-Jan-16,Thailand,Sporadic transmission following recent introduction,Yes
28-Jan-16,Venezuela,Increasing or widespread transmission,Yes
28-Jan-16,Virgin island (US),Sporadic transmission following recent introduction,Yes
28-Jan-16,Fiji,No,Yes
28-Jan-16,Maldives,No,Yes
28-Jan-16,New Caledonia (France),No,Yes
28-Jan-16,Samoa,No,Yes
28-Jan-16,Solomon Islands,No,Yes
