292150	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	1	6	8	9	31	24	121	69	44	98	226	178	89	172	78	82	80	57	131	65	59	49	26	7	16	22	28	9	1	0	0	0	1789
293010	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	1	1	13	17	17	20	51	114	97	147	152	144	129	148	70	63	50	40	21	20	17	18	25	39	67	80	50	48	50	25	5	1	1743
291080	0	0	0	0	1	0	0	0	1	1	1	3	3	17	30	17	30	64	83	95	92	91	102	93	91	99	132	137	70	58	45	33	19	17	9	8	5	4	5	1	3	1	0	0	5	1	8	6	0	1481
293070	0	0	0	0	0	0	1	0	2	1	7	31	86	12	3	6	15	105	85	171	176	24	8	9	6	39	22	84	105	82	74	37	47	38	43	13	6	25	23	13	12	10	9	6	0	0	0	0	0	1436
290070	0	0	1	1	0	0	0	0	1	0	0	1	0	0	0	1	2	3	3	4	10	19	17	14	23	51	102	302	333	192	83	0	0	1	2	0	0	1	1	0	1	3	0	1	2	0	0	0	0	1175
291072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	40	27	70	90	91	94	92	60	58	87	108	55	73	35	25	24	22	12	6	4	8	10	6	4	1	1	3	1	0	0	0	0	1117
292870	0	0	0	0	1	2	0	0	0	0	1	2	0	6	12	14	19	27	32	37	33	35	24	28	17	62	110	143	131	95	75	62	43	34	13	12	12	5	3	4	2	1	2	6	1	1	0	0	0	1107
291685	0	0	0	0	0	0	0	0	0	1	3	2	3	5	16	16	3	6	12	14	20	19	34	52	63	67	86	88	129	127	72	72	29	7	12	9	7	17	13	13	15	4	3	0	3	0	0	0	0	1042
291800	0	1	0	1	0	0	2	0	1	0	2	34	39	81	179	212	60	34	16	62	26	24	10	7	15	19	22	44	33	35	21	3	6	7	3	5	2	9	3	5	0	0	0	2	0	0	0	0	0	1025
292740	0	0	0	2	0	0	0	0	0	0	0	0	0	1	1	5	19	30	53	80	70	27	47	51	47	95	125	117	47	54	23	19	10	9	17	14	7	5	3	1	3	2	0	2	0	0	3	0	0	989
293050	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	2	1	2	5	75	65	20	35	64	90	96	102	39	34	36	55	28	20	19	18	17	3	10	8	4	3	10	9	9	0	0	0	0	881
291480	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	79	3	53	50	63	33	32	18	15	9	11	12	8	4	9	12	13	4	14	3	5	1	30	132	166	36	817
291920	0	0	0	0	0	0	1	1	0	0	2	1	0	2	5	75	64	55	73	116	72	44	41	30	39	33	47	47	23	22	9	4	5	2	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	816
292950	0	0	0	0	0	0	0	0	0	0	0	0	0	4	5	1	2	3	4	9	7	14	67	49	27	82	157	100	84	38	39	53	22	6	15	4	3	0	10	5	0	0	0	2	0	0	2	0	0	814
291070	0	0	0	0	0	0	0	0	0	0	1	0	1	2	1	2	10	42	58	34	12	53	18	29	59	38	59	39	63	49	33	14	21	21	3	10	3	5	5	1	0	0	0	0	0	0	0	0	0	686
290570	0	0	0	0	0	0	1	0	1	1	9	14	0	4	23	43	56	142	81	44	23	8	20	13	12	21	31	25	12	18	14	12	7	2	2	2	1	1	0	0	0	1	0	0	1	0	0	0	0	645
291750	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	6	4	3	8	11	31	51	32	23	15	14	7	11	7	12	10	11	10	3	11	4	22	3	11	20	25	23	10	0	400
